"WELL_PERMIT_NUM","PERIOD_ID","REPORTING_PERIOD","PRODUCTION_INDICATOR","WASTE_INDICATOR","WELL_STATUS","FARM_NAME_WELL_NUM","SPUD_DATE","GAS_QUANTITY","GAS_PRODUCTION_DAYS","CONDENSATE_QUANTITY","CONDENSATE_PRODUCTION_DAYS","OIL_QUANTITY","OIL_PRODUCTION_DAYS","AVERAGED","GROUP_NO","OPERATOR","OGO_NUM","WELL_COUNTY","WELL_MUNICIPALITY","WELL_LATITUDE","WELL_LONGITUDE","UNCONVENTIONAL","WELL_CONFIGURATION","WELL_TYPE","PRODUCTION_PERIOD_START_DATE","PRODUCTION_PERIOD_END_DATE","NON_PRODUCTION_COMMENTS","ADDITIONAL_COMMENTS","RECORD_SOURCE","SUBMISSION_FINAL_DATE","REPORT_GENERATED_DATE"
"005-31179","20JULP","Jul 2020 (PRODUCTION: Unconventional wells)","Yes","No","Active","SPRING CHURCH UNIT 3H","12/15/2013",11918,31,"","","","","No","","EQT CHAP LLC","OGO-39307","ARMSTRONG","SOUTH BEND",40.594208,-79.412161,"Yes","Horizontal Well","GAS","7/01/2020","7/31/2020","","","OGRE","08/31/2020","3/01/2023"
"005-31179","20JUNP","Jun 2020 (PRODUCTION: Unconventional wells)","Yes","No","Active","SPRING CHURCH UNIT 3H","12/15/2013",10979,30,"","","","","No","","EQT CHAP LLC","OGO-39307","ARMSTRONG","SOUTH BEND",40.594208,-79.412161,"Yes","Horizontal Well","GAS","6/01/2020","6/30/2020","","","OGRE","08/04/2020","3/01/2023"
"005-31179","20MARP","Mar 2020 (PRODUCTION: Unconventional wells)","Yes","No","Active","SPRING CHURCH UNIT 3H","12/15/2013",12253,31,"","","","","No","","EQT CHAP LLC","OGO-39307","ARMSTRONG","SOUTH BEND",40.594208,-79.412161,"Yes","Horizontal Well","GAS","3/01/2020","3/31/2020","","","OGRE","04/29/2020","3/01/2023"
"005-31179","20MAYP","May 2020 (PRODUCTION: Unconventional wells)","Yes","No","Active","SPRING CHURCH UNIT 3H","12/15/2013",11563,31,"","","","","No","","EQT CHAP LLC","OGO-39307","ARMSTRONG","SOUTH BEND",40.594208,-79.412161,"Yes","Horizontal Well","GAS","5/01/2020","5/31/2020","","","OGRE","06/30/2020","3/01/2023"
"005-31179","20NOVP","Nov 2020 (PRODUCTION: Unconventional wells)","Yes","No","Active","SPRING CHURCH UNIT 3H","12/15/2013",13010,30,"","","","","No","","EQT CHAP LLC","OGO-39307","ARMSTRONG","SOUTH BEND",40.594208,-79.412161,"Yes","Horizontal Well","GAS","11/01/2020","11/30/2020","","","OGRE","12/17/2020","3/01/2023"
"005-31179","20OCTP","Oct 2020 (PRODUCTION: Unconventional wells)","Yes","No","Active","SPRING CHURCH UNIT 3H","12/15/2013",13620,31,"","","","","No","","EQT CHAP LLC","OGO-39307","ARMSTRONG","SOUTH BEND",40.594208,-79.412161,"Yes","Horizontal Well","GAS","10/01/2020","10/31/2020","","","OGRE","12/02/2020","3/01/2023"
"005-31179","20SEPP","Sep 2020 (PRODUCTION: Unconventional wells)","Yes","No","Active","SPRING CHURCH UNIT 3H","12/15/2013",13368,30,"","","","","No","","EQT CHAP LLC","OGO-39307","ARMSTRONG","SOUTH BEND",40.594208,-79.412161,"Yes","Horizontal Well","GAS","9/01/2020","9/30/2020","","","OGRE","11/08/2020","3/01/2023"
"051-24381","20APRP","Apr 2020 (PRODUCTION: Unconventional wells)","Yes","No","Active","HAMBORSKY UNIT 12H","6/13/2011",5493,30,"","","","","No","","EQT CHAP LLC","OGO-39307","FAYETTE","BULLSKIN",40.072761,-79.577281,"Yes","Horizontal Well","GAS","4/01/2020","4/30/2020","","","OGRE","05/27/2020","3/01/2023"
"051-24381","20AUGP","Aug 2020 (PRODUCTION: Unconventional wells)","Yes","No","Active","HAMBORSKY UNIT 12H","6/13/2011",2,31,"","","","","No","","EQT CHAP LLC","OGO-39307","FAYETTE","BULLSKIN",40.072761,-79.577281,"Yes","Horizontal Well","GAS","8/01/2020","8/31/2020","","","OGRE","09/28/2020","3/01/2023"
"051-24381","20DECP","Dec 2020 (PRODUCTION: Unconventional wells)","Yes","No","Active","HAMBORSKY UNIT 12H","6/13/2011",13742,31,"","","","","No","","EQT CHAP LLC","OGO-39307","FAYETTE","BULLSKIN",40.072761,-79.577281,"Yes","Horizontal Well","GAS","12/01/2020","12/31/2020","","","OGRE","01/27/2021","3/01/2023"
"051-24381","20FEBP","Feb 2020 (PRODUCTION: Unconventional wells)","Yes","No","Active","HAMBORSKY UNIT 12H","6/13/2011",10325,29,"","","","","No","","EQT CHAP LLC","OGO-39307","FAYETTE","BULLSKIN",40.072761,-79.577281,"Yes","Horizontal Well","GAS","2/01/2020","2/29/2020","","","OGRE","03/31/2020","3/01/2023"
"051-24381","20JANP","Jan 2020 (PRODUCTION: Unconventional wells)","Yes","No","Active","HAMBORSKY UNIT 12H","6/13/2011",10108,31,"","","","","No","","EQT CHAP LLC","OGO-39307","FAYETTE","BULLSKIN",40.072761,-79.577281,"Yes","Horizontal Well","GAS","1/01/2020","1/31/2020","","","OGRE","03/02/2020","3/01/2023"
"051-24381","20JULP","Jul 2020 (PRODUCTION: Unconventional wells)","Yes","No","Active","HAMBORSKY UNIT 12H","6/13/2011",7543,31,"","","","","No","","EQT CHAP LLC","OGO-39307","FAYETTE","BULLSKIN",40.072761,-79.577281,"Yes","Horizontal Well","GAS","7/01/2020","7/31/2020","","","OGRE","08/31/2020","3/01/2023"
"051-24381","20JUNP","Jun 2020 (PRODUCTION: Unconventional wells)","Yes","No","Active","HAMBORSKY UNIT 12H","6/13/2011",7468,30,"","","","","No","","EQT CHAP LLC","OGO-39307","FAYETTE","BULLSKIN",40.072761,-79.577281,"Yes","Horizontal Well","GAS","6/01/2020","6/30/2020","","","OGRE","08/04/2020","3/01/2023"
"051-24381","20MARP","Mar 2020 (PRODUCTION: Unconventional wells)","Yes","No","Active","HAMBORSKY UNIT 12H","6/13/2011",9299,31,"","","","","No","","EQT CHAP LLC","OGO-39307","FAYETTE","BULLSKIN",40.072761,-79.577281,"Yes","Horizontal Well","GAS","3/01/2020","3/31/2020","","","OGRE","04/29/2020","3/01/2023"
"051-24381","20MAYP","May 2020 (PRODUCTION: Unconventional wells)","Yes","No","Active","HAMBORSKY UNIT 12H","6/13/2011",7893,31,"","","","","No","","EQT CHAP LLC","OGO-39307","FAYETTE","BULLSKIN",40.072761,-79.577281,"Yes","Horizontal Well","GAS","5/01/2020","5/31/2020","","","OGRE","06/30/2020","3/01/2023"
"051-24381","20NOVP","Nov 2020 (PRODUCTION: Unconventional wells)","Yes","No","Active","HAMBORSKY UNIT 12H","6/13/2011",29792,30,"","","","","No","","EQT CHAP LLC","OGO-39307","FAYETTE","BULLSKIN",40.072761,-79.577281,"Yes","Horizontal Well","GAS","11/01/2020","11/30/2020","","","OGRE","12/17/2020","3/01/2023"
"051-24381","20OCTP","Oct 2020 (PRODUCTION: Unconventional wells)","Yes","No","Active","HAMBORSKY UNIT 12H","6/13/2011",18072,31,"","","","","No","","EQT CHAP LLC","OGO-39307","FAYETTE","BULLSKIN",40.072761,-79.577281,"Yes","Horizontal Well","GAS","10/01/2020","10/31/2020","","","OGRE","12/02/2020","3/01/2023"
"051-24381","20SEPP","Sep 2020 (PRODUCTION: Unconventional wells)","Yes","No","Active","HAMBORSKY UNIT 12H","6/13/2011",3215,30,"","","","","No","","EQT CHAP LLC","OGO-39307","FAYETTE","BULLSKIN",40.072761,-79.577281,"Yes","Horizontal Well","GAS","9/01/2020","9/30/2020","","","OGRE","11/08/2020","3/01/2023"
"051-24438","20APRP","Apr 2020 (PRODUCTION: Unconventional wells)","Yes","No","Active","CONNELLSVILLE SPORTSMEN'S ASSOC UNIT 7H","7/27/2011",829,30,"","","","","No","","EQT CHAP LLC","OGO-39307","FAYETTE","BULLSKIN",40.050308,-79.573314,"Yes","Horizontal Well","GAS","4/01/2020","4/30/2020","","","OGRE","05/27/2020","3/01/2023"
"051-24438","20AUGP","Aug 2020 (PRODUCTION: Unconventional wells)","Yes","No","Active","CONNELLSVILLE SPORTSMEN'S ASSOC UNIT 7H","7/27/2011",13544,31,"","","","","No","","EQT CHAP LLC","OGO-39307","FAYETTE","BULLSKIN",40.050308,-79.573314,"Yes","Horizontal Well","GAS","8/01/2020","8/31/2020","","","OGRE","09/28/2020","3/01/2023"
"051-24438","20DECP","Dec 2020 (PRODUCTION: Unconventional wells)","No","No","Active","CONNELLSVILLE SPORTSMEN'S ASSOC UNIT 7H","7/27/2011","","","","","","","No","","EQT CHAP LLC","OGO-39307","FAYETTE","BULLSKIN",40.050308,-79.573314,"Yes","Horizontal Well","GAS","12/01/2020","12/31/2020","Well Temporarily Not Producing","","OGRE","01/27/2021","3/01/2023"
"051-24438","20FEBP","Feb 2020 (PRODUCTION: Unconventional wells)","Yes","No","Active","CONNELLSVILLE SPORTSMEN'S ASSOC UNIT 7H","7/27/2011",9610,29,"","","","","No","","EQT CHAP LLC","OGO-39307","FAYETTE","BULLSKIN",40.050308,-79.573314,"Yes","Horizontal Well","GAS","2/01/2020","2/29/2020","","","OGRE","03/31/2020","3/01/2023"
"051-24438","20JANP","Jan 2020 (PRODUCTION: Unconventional wells)","Yes","No","Active","CONNELLSVILLE SPORTSMEN'S ASSOC UNIT 7H","7/27/2011",10966,31,"","","","","No","","EQT CHAP LLC","OGO-39307","FAYETTE","BULLSKIN",40.050308,-79.573314,"Yes","Horizontal Well","GAS","1/01/2020","1/31/2020","","","OGRE","03/02/2020","3/01/2023"
"051-24438","20JULP","Jul 2020 (PRODUCTION: Unconventional wells)","Yes","No","Active","CONNELLSVILLE SPORTSMEN'S ASSOC UNIT 7H","7/27/2011",7877,31,"","","","","No","","EQT CHAP LLC","OGO-39307","FAYETTE","BULLSKIN",40.050308,-79.573314,"Yes","Horizontal Well","GAS","7/01/2020","7/31/2020","","","OGRE","08/31/2020","3/01/2023"
"051-24438","20JUNP","Jun 2020 (PRODUCTION: Unconventional wells)","Yes","No","Active","CONNELLSVILLE SPORTSMEN'S ASSOC UNIT 7H","7/27/2011",5769,30,"","","","","No","","EQT CHAP LLC","OGO-39307","FAYETTE","BULLSKIN",40.050308,-79.573314,"Yes","Horizontal Well","GAS","6/01/2020","6/30/2020","","","OGRE","08/04/2020","3/01/2023"
"051-24438","20MARP","Mar 2020 (PRODUCTION: Unconventional wells)","Yes","No","Active","CONNELLSVILLE SPORTSMEN'S ASSOC UNIT 7H","7/27/2011",10390,31,"","","","","No","","EQT CHAP LLC","OGO-39307","FAYETTE","BULLSKIN",40.050308,-79.573314,"Yes","Horizontal Well","GAS","3/01/2020","3/31/2020","","","OGRE","04/29/2020","3/01/2023"
"051-24438","20MAYP","May 2020 (PRODUCTION: Unconventional wells)","Yes","No","Active","CONNELLSVILLE SPORTSMEN'S ASSOC UNIT 7H","7/27/2011",5625,31,"","","","","No","","EQT CHAP LLC","OGO-39307","FAYETTE","BULLSKIN",40.050308,-79.573314,"Yes","Horizontal Well","GAS","5/01/2020","5/31/2020","","","OGRE","06/30/2020","3/01/2023"
"051-24438","20NOVP","Nov 2020 (PRODUCTION: Unconventional wells)","No","No","Active","CONNELLSVILLE SPORTSMEN'S ASSOC UNIT 7H","7/27/2011","","","","","","","No","","EQT CHAP LLC","OGO-39307","FAYETTE","BULLSKIN",40.050308,-79.573314,"Yes","Horizontal Well","GAS","11/01/2020","11/30/2020","Well Temporarily Not Producing","","OGRE","12/17/2020","3/01/2023"
"051-24438","20OCTP","Oct 2020 (PRODUCTION: Unconventional wells)","No","No","Active","CONNELLSVILLE SPORTSMEN'S ASSOC UNIT 7H","7/27/2011","","","","","","","No","","EQT CHAP LLC","OGO-39307","FAYETTE","BULLSKIN",40.050308,-79.573314,"Yes","Horizontal Well","GAS","10/01/2020","10/31/2020","Well Temporarily Not Producing","","OGRE","12/02/2020","3/01/2023"
"051-24438","20SEPP","Sep 2020 (PRODUCTION: Unconventional wells)","Yes","No","Active","CONNELLSVILLE SPORTSMEN'S ASSOC UNIT 7H","7/27/2011",2761,30,"","","","","No","","EQT CHAP LLC","OGO-39307","FAYETTE","BULLSKIN",40.050308,-79.573314,"Yes","Horizontal Well","GAS","9/01/2020","9/30/2020","","","OGRE","11/08/2020","3/01/2023"
"051-24439","20APRP","Apr 2020 (PRODUCTION: Unconventional wells)","Yes","No","Active","CONNELLSVILLE SPORTSMEN'S ASSOC UNIT 8H","7/28/2011",13104,30,"","","","","No","","EQT CHAP LLC","OGO-39307","FAYETTE","BULLSKIN",40.050269,-79.573314,"Yes","Horizontal Well","GAS","4/01/2020","4/30/2020","","","OGRE","05/27/2020","3/01/2023"
"051-24439","20AUGP","Aug 2020 (PRODUCTION: Unconventional wells)","Yes","No","Active","CONNELLSVILLE SPORTSMEN'S ASSOC UNIT 8H","7/28/2011",13646,31,"","","","","No","","EQT CHAP LLC","OGO-39307","FAYETTE","BULLSKIN",40.050269,-79.573314,"Yes","Horizontal Well","GAS","8/01/2020","8/31/2020","","","OGRE","09/28/2020","3/01/2023"
"051-24439","20DECP","Dec 2020 (PRODUCTION: Unconventional wells)","Yes","No","Active","CONNELLSVILLE SPORTSMEN'S ASSOC UNIT 8H","7/28/2011",11083,31,"","","","","No","","EQT CHAP LLC","OGO-39307","FAYETTE","BULLSKIN",40.050269,-79.573314,"Yes","Horizontal Well","GAS","12/01/2020","12/31/2020","","","OGRE","01/27/2021","3/01/2023"
"051-24439","20FEBP","Feb 2020 (PRODUCTION: Unconventional wells)","Yes","No","Active","CONNELLSVILLE SPORTSMEN'S ASSOC UNIT 8H","7/28/2011",14930,29,"","","","","No","","EQT CHAP LLC","OGO-39307","FAYETTE","BULLSKIN",40.050269,-79.573314,"Yes","Horizontal Well","GAS","2/01/2020","2/29/2020","","","OGRE","03/31/2020","3/01/2023"
"051-24439","20JANP","Jan 2020 (PRODUCTION: Unconventional wells)","Yes","No","Active","CONNELLSVILLE SPORTSMEN'S ASSOC UNIT 8H","7/28/2011",14534,31,"","","","","No","","EQT CHAP LLC","OGO-39307","FAYETTE","BULLSKIN",40.050269,-79.573314,"Yes","Horizontal Well","GAS","1/01/2020","1/31/2020","","","OGRE","03/02/2020","3/01/2023"
"051-24439","20JULP","Jul 2020 (PRODUCTION: Unconventional wells)","Yes","No","Active","CONNELLSVILLE SPORTSMEN'S ASSOC UNIT 8H","7/28/2011",15810,31,"","","","","No","","EQT CHAP LLC","OGO-39307","FAYETTE","BULLSKIN",40.050269,-79.573314,"Yes","Horizontal Well","GAS","7/01/2020","7/31/2020","","","OGRE","08/31/2020","3/01/2023"
"051-24439","20JUNP","Jun 2020 (PRODUCTION: Unconventional wells)","Yes","No","Active","CONNELLSVILLE SPORTSMEN'S ASSOC UNIT 8H","7/28/2011",13587,30,"","","","","No","","EQT CHAP LLC","OGO-39307","FAYETTE","BULLSKIN",40.050269,-79.573314,"Yes","Horizontal Well","GAS","6/01/2020","6/30/2020","","","OGRE","08/04/2020","3/01/2023"
"051-24439","20MARP","Mar 2020 (PRODUCTION: Unconventional wells)","Yes","No","Active","CONNELLSVILLE SPORTSMEN'S ASSOC UNIT 8H","7/28/2011",15316,31,"","","","","No","","EQT CHAP LLC","OGO-39307","FAYETTE","BULLSKIN",40.050269,-79.573314,"Yes","Horizontal Well","GAS","3/01/2020","3/31/2020","","","OGRE","04/29/2020","3/01/2023"
"051-24439","20MAYP","May 2020 (PRODUCTION: Unconventional wells)","Yes","No","Active","CONNELLSVILLE SPORTSMEN'S ASSOC UNIT 8H","7/28/2011",14216,31,"","","","","No","","EQT CHAP LLC","OGO-39307","FAYETTE","BULLSKIN",40.050269,-79.573314,"Yes","Horizontal Well","GAS","5/01/2020","5/31/2020","","","OGRE","06/30/2020","3/01/2023"
"051-24439","20NOVP","Nov 2020 (PRODUCTION: Unconventional wells)","Yes","No","Active","CONNELLSVILLE SPORTSMEN'S ASSOC UNIT 8H","7/28/2011",13586,30,"","","","","No","","EQT CHAP LLC","OGO-39307","FAYETTE","BULLSKIN",40.050269,-79.573314,"Yes","Horizontal Well","GAS","11/01/2020","11/30/2020","","","OGRE","12/17/2020","3/01/2023"
"051-24439","20OCTP","Oct 2020 (PRODUCTION: Unconventional wells)","Yes","No","Active","CONNELLSVILLE SPORTSMEN'S ASSOC UNIT 8H","7/28/2011",13461,31,"","","","","No","","EQT CHAP LLC","OGO-39307","FAYETTE","BULLSKIN",40.050269,-79.573314,"Yes","Horizontal Well","GAS","10/01/2020","10/31/2020","","","OGRE","12/02/2020","3/01/2023"
"051-24439","20SEPP","Sep 2020 (PRODUCTION: Unconventional wells)","Yes","No","Active","CONNELLSVILLE SPORTSMEN'S ASSOC UNIT 8H","7/28/2011",12229,30,"","","","","No","","EQT CHAP LLC","OGO-39307","FAYETTE","BULLSKIN",40.050269,-79.573314,"Yes","Horizontal Well","GAS","9/01/2020","9/30/2020","","","OGRE","11/08/2020","3/01/2023"
"051-24443","20APRP","Apr 2020 (PRODUCTION: Unconventional wells)","Yes","No","Active","HAMBORSKY UNIT 13H","6/14/2011",6491,30,"","","","","No","","EQT CHAP LLC","OGO-39307","FAYETTE","BULLSKIN",40.072781,-79.577325,"Yes","Horizontal Well","GAS","4/01/2020","4/30/2020","","","OGRE","05/27/2020","3/01/2023"
"051-24443","20AUGP","Aug 2020 (PRODUCTION: Unconventional wells)","Yes","No","Active","HAMBORSKY UNIT 13H","6/14/2011",20771,31,"","","","","No","","EQT CHAP LLC","OGO-39307","FAYETTE","BULLSKIN",40.072781,-79.577325,"Yes","Horizontal Well","GAS","8/01/2020","8/31/2020","","","OGRE","09/28/2020","3/01/2023"
"051-24443","20DECP","Dec 2020 (PRODUCTION: Unconventional wells)","Yes","No","Active","HAMBORSKY UNIT 13H","6/14/2011",13015,31,"","","","","No","","EQT CHAP LLC","OGO-39307","FAYETTE","BULLSKIN",40.072781,-79.577325,"Yes","Horizontal Well","GAS","12/01/2020","12/31/2020","","","OGRE","01/27/2021","3/01/2023"
"051-24443","20FEBP","Feb 2020 (PRODUCTION: Unconventional wells)","Yes","No","Active","HAMBORSKY UNIT 13H","6/14/2011",8232,29,"","","","","No","","EQT CHAP LLC","OGO-39307","FAYETTE","BULLSKIN",40.072781,-79.577325,"Yes","Horizontal Well","GAS","2/01/2020","2/29/2020","","","OGRE","03/31/2020","3/01/2023"
"051-24443","20JANP","Jan 2020 (PRODUCTION: Unconventional wells)","Yes","No","Active","HAMBORSKY UNIT 13H","6/14/2011",8660,31,"","","","","No","","EQT CHAP LLC","OGO-39307","FAYETTE","BULLSKIN",40.072781,-79.577325,"Yes","Horizontal Well","GAS","1/01/2020","1/31/2020","","","OGRE","03/02/2020","3/01/2023"
"051-24443","20JULP","Jul 2020 (PRODUCTION: Unconventional wells)","Yes","No","Active","HAMBORSKY UNIT 13H","6/14/2011",9564,31,"","","","","No","","EQT CHAP LLC","OGO-39307","FAYETTE","BULLSKIN",40.072781,-79.577325,"Yes","Horizontal Well","GAS","7/01/2020","7/31/2020","","","OGRE","08/31/2020","3/01/2023"
"051-24443","20JUNP","Jun 2020 (PRODUCTION: Unconventional wells)","Yes","No","Active","HAMBORSKY UNIT 13H","6/14/2011",10256,30,"","","","","No","","EQT CHAP LLC","OGO-39307","FAYETTE","BULLSKIN",40.072781,-79.577325,"Yes","Horizontal Well","GAS","6/01/2020","6/30/2020","","","OGRE","08/04/2020","3/01/2023"
"051-24443","20MARP","Mar 2020 (PRODUCTION: Unconventional wells)","Yes","No","Active","HAMBORSKY UNIT 13H","6/14/2011",10252,31,"","","","","No","","EQT CHAP LLC","OGO-39307","FAYETTE","BULLSKIN",40.072781,-79.577325,"Yes","Horizontal Well","GAS","3/01/2020","3/31/2020","","","OGRE","04/29/2020","3/01/2023"
"051-24443","20MAYP","May 2020 (PRODUCTION: Unconventional wells)","Yes","No","Active","HAMBORSKY UNIT 13H","6/14/2011",9872,31,"","","","","No","","EQT CHAP LLC","OGO-39307","FAYETTE","BULLSKIN",40.072781,-79.577325,"Yes","Horizontal Well","GAS","5/01/2020","5/31/2020","","","OGRE","06/30/2020","3/01/2023"
"051-24443","20NOVP","Nov 2020 (PRODUCTION: Unconventional wells)","Yes","No","Active","HAMBORSKY UNIT 13H","6/14/2011",15526,30,"","","","","No","","EQT CHAP LLC","OGO-39307","FAYETTE","BULLSKIN",40.072781,-79.577325,"Yes","Horizontal Well","GAS","11/01/2020","11/30/2020","","","OGRE","12/17/2020","3/01/2023"
