"WELL_PERMIT_NUM","PERIOD_ID","REPORTING_PERIOD","PRODUCTION_INDICATOR","WASTE_INDICATOR","WELL_STATUS","FARM_NAME_WELL_NUM","SPUD_DATE","GAS_QUANTITY","GAS_PRODUCTION_DAYS","CONDENSATE_QUANTITY","CONDENSATE_PRODUCTION_DAYS","OIL_QUANTITY","OIL_PRODUCTION_DAYS","AVERAGED","GROUP_NO","OPERATOR","OGO_NUM","WELL_COUNTY","WELL_MUNICIPALITY","WELL_LATITUDE","WELL_LONGITUDE","UNCONVENTIONAL","WELL_CONFIGURATION","WELL_TYPE","PRODUCTION_PERIOD_START_DATE","PRODUCTION_PERIOD_END_DATE","NON_PRODUCTION_COMMENTS","ADDITIONAL_COMMENTS","RECORD_SOURCE","SUBMISSION_FINAL_DATE","REPORT_GENERATED_DATE"
"005-31098","20APRP","Apr 2020 (PRODUCTION: Unconventional wells)","Yes","No","Active","SPRING CHURCH UNIT 1H","12/14/2013",17661,30,"","","","","No","","EQT CHAP LLC","OGO-39307","ARMSTRONG","SOUTH BEND",40.594178,-79.412125,"Yes","Horizontal Well","GAS","4/01/2020","4/30/2020","","","OGRE","05/27/2020","3/01/2023"
"005-31098","20AUGP","Aug 2020 (PRODUCTION: Unconventional wells)","Yes","No","Active","SPRING CHURCH UNIT 1H","12/14/2013",17676,31,"","","","","No","","EQT CHAP LLC","OGO-39307","ARMSTRONG","SOUTH BEND",40.594178,-79.412125,"Yes","Horizontal Well","GAS","8/01/2020","8/31/2020","","","OGRE","09/28/2020","3/01/2023"
"005-31098","20DECP","Dec 2020 (PRODUCTION: Unconventional wells)","Yes","No","Active","SPRING CHURCH UNIT 1H","12/14/2013",16291,31,"","","","","No","","EQT CHAP LLC","OGO-39307","ARMSTRONG","SOUTH BEND",40.594178,-79.412125,"Yes","Horizontal Well","GAS","12/01/2020","12/31/2020","","","OGRE","01/27/2021","3/01/2023"
"005-31098","20FEBP","Feb 2020 (PRODUCTION: Unconventional wells)","Yes","No","Active","SPRING CHURCH UNIT 1H","12/14/2013",17726,29,"","","","","No","","EQT CHAP LLC","OGO-39307","ARMSTRONG","SOUTH BEND",40.594178,-79.412125,"Yes","Horizontal Well","GAS","2/01/2020","2/29/2020","","","OGRE","03/31/2020","3/01/2023"
"005-31098","20JANP","Jan 2020 (PRODUCTION: Unconventional wells)","Yes","No","Active","SPRING CHURCH UNIT 1H","12/14/2013",18783,31,"","","","","No","","EQT CHAP LLC","OGO-39307","ARMSTRONG","SOUTH BEND",40.594178,-79.412125,"Yes","Horizontal Well","GAS","1/01/2020","1/31/2020","","","OGRE","03/02/2020","3/01/2023"
"005-31098","20JULP","Jul 2020 (PRODUCTION: Unconventional wells)","Yes","No","Active","SPRING CHURCH UNIT 1H","12/14/2013",18176,31,"","","","","No","","EQT CHAP LLC","OGO-39307","ARMSTRONG","SOUTH BEND",40.594178,-79.412125,"Yes","Horizontal Well","GAS","7/01/2020","7/31/2020","","","OGRE","08/31/2020","3/01/2023"
"005-31098","20JUNP","Jun 2020 (PRODUCTION: Unconventional wells)","Yes","No","Active","SPRING CHURCH UNIT 1H","12/14/2013",17584,30,"","","","","No","","EQT CHAP LLC","OGO-39307","ARMSTRONG","SOUTH BEND",40.594178,-79.412125,"Yes","Horizontal Well","GAS","6/01/2020","6/30/2020","","","OGRE","08/04/2020","3/01/2023"
"005-31098","20MARP","Mar 2020 (PRODUCTION: Unconventional wells)","Yes","No","Active","SPRING CHURCH UNIT 1H","12/14/2013",19243,31,"","","","","No","","EQT CHAP LLC","OGO-39307","ARMSTRONG","SOUTH BEND",40.594178,-79.412125,"Yes","Horizontal Well","GAS","3/01/2020","3/31/2020","","","OGRE","04/29/2020","3/01/2023"
"005-31098","20MAYP","May 2020 (PRODUCTION: Unconventional wells)","Yes","No","Active","SPRING CHURCH UNIT 1H","12/14/2013",18166,31,"","","","","No","","EQT CHAP LLC","OGO-39307","ARMSTRONG","SOUTH BEND",40.594178,-79.412125,"Yes","Horizontal Well","GAS","5/01/2020","5/31/2020","","","OGRE","06/30/2020","3/01/2023"
"005-31098","20NOVP","Nov 2020 (PRODUCTION: Unconventional wells)","Yes","No","Active","SPRING CHURCH UNIT 1H","12/14/2013",16141,30,"","","","","No","","EQT CHAP LLC","OGO-39307","ARMSTRONG","SOUTH BEND",40.594178,-79.412125,"Yes","Horizontal Well","GAS","11/01/2020","11/30/2020","","","OGRE","12/17/2020","3/01/2023"
"005-31098","20OCTP","Oct 2020 (PRODUCTION: Unconventional wells)","Yes","No","Active","SPRING CHURCH UNIT 1H","12/14/2013",16794,31,"","","","","No","","EQT CHAP LLC","OGO-39307","ARMSTRONG","SOUTH BEND",40.594178,-79.412125,"Yes","Horizontal Well","GAS","10/01/2020","10/31/2020","","","OGRE","12/02/2020","3/01/2023"
"005-31098","20SEPP","Sep 2020 (PRODUCTION: Unconventional wells)","Yes","No","Active","SPRING CHURCH UNIT 1H","12/14/2013",16723,30,"","","","","No","","EQT CHAP LLC","OGO-39307","ARMSTRONG","SOUTH BEND",40.594178,-79.412125,"Yes","Horizontal Well","GAS","9/01/2020","9/30/2020","","","OGRE","11/08/2020","3/01/2023"
"005-31179","20APRP","Apr 2020 (PRODUCTION: Unconventional wells)","Yes","No","Active","SPRING CHURCH UNIT 3H","12/15/2013",11307,30,"","","","","No","","EQT CHAP LLC","OGO-39307","ARMSTRONG","SOUTH BEND",40.594208,-79.412161,"Yes","Horizontal Well","GAS","4/01/2020","4/30/2020","","","OGRE","05/27/2020","3/01/2023"
"005-31179","20AUGP","Aug 2020 (PRODUCTION: Unconventional wells)","Yes","No","Active","SPRING CHURCH UNIT 3H","12/15/2013",13841,31,"","","","","No","","EQT CHAP LLC","OGO-39307","ARMSTRONG","SOUTH BEND",40.594208,-79.412161,"Yes","Horizontal Well","GAS","8/01/2020","8/31/2020","","","OGRE","09/28/2020","3/01/2023"
"005-31179","20DECP","Dec 2020 (PRODUCTION: Unconventional wells)","Yes","No","Active","SPRING CHURCH UNIT 3H","12/15/2013",13129,31,"","","","","No","","EQT CHAP LLC","OGO-39307","ARMSTRONG","SOUTH BEND",40.594208,-79.412161,"Yes","Horizontal Well","GAS","12/01/2020","12/31/2020","","","OGRE","01/27/2021","3/01/2023"
"005-31179","20FEBP","Feb 2020 (PRODUCTION: Unconventional wells)","Yes","No","Active","SPRING CHURCH UNIT 3H","12/15/2013",11538,29,"","","","","No","","EQT CHAP LLC","OGO-39307","ARMSTRONG","SOUTH BEND",40.594208,-79.412161,"Yes","Horizontal Well","GAS","2/01/2020","2/29/2020","","","OGRE","03/31/2020","3/01/2023"
"005-31179","20JANP","Jan 2020 (PRODUCTION: Unconventional wells)","Yes","No","Active","SPRING CHURCH UNIT 3H","12/15/2013",12217,31,"","","","","No","","EQT CHAP LLC","OGO-39307","ARMSTRONG","SOUTH BEND",40.594208,-79.412161,"Yes","Horizontal Well","GAS","1/01/2020","1/31/2020","","","OGRE","03/02/2020","3/01/2023"
