"WELL_PERMIT_NUM","PERIOD_ID","REPORTING_PERIOD","PRODUCTION_INDICATOR","WASTE_INDICATOR","WELL_STATUS","FARM_NAME_WELL_NUM","SPUD_DATE","GAS_QUANTITY","GAS_PRODUCTION_DAYS","CONDENSATE_QUANTITY","CONDENSATE_PRODUCTION_DAYS","OIL_QUANTITY","OIL_PRODUCTION_DAYS","AVERAGED","GROUP_NO","OPERATOR","OGO_NUM","WELL_COUNTY","WELL_MUNICIPALITY","WELL_LATITUDE","WELL_LONGITUDE","UNCONVENTIONAL","WELL_CONFIGURATION","WELL_TYPE","PRODUCTION_PERIOD_START_DATE","PRODUCTION_PERIOD_END_DATE","NON_PRODUCTION_COMMENTS","ADDITIONAL_COMMENTS","RECORD_SOURCE","SUBMISSION_FINAL_DATE","REPORT_GENERATED_DATE"
"003-22229","20APRP","Apr 2020 (PRODUCTION: Unconventional wells)","Yes","No","Active","OLIVER EAST 590597","1/14/2013",23199,30,"","","","","No","","EQT PROD CO","OGO-61555","ALLEGHENY","FORWARD",40.243461,-79.904617,"Yes","Horizontal Well","GAS","4/01/2020","4/30/2020","","","OGRE","06/11/2020","3/01/2023"
"003-22229","20AUGP","Aug 2020 (PRODUCTION: Unconventional wells)","Yes","No","Active","OLIVER EAST 590597","1/14/2013",12785,31,"","","","","No","","EQT PROD CO","OGO-61555","ALLEGHENY","FORWARD",40.243461,-79.904617,"Yes","Horizontal Well","GAS","8/01/2020","8/31/2020","","","OGRE","10/14/2020","3/01/2023"
"003-22229","20DECP","Dec 2020 (PRODUCTION: Unconventional wells)","Yes","No","Active","OLIVER EAST 590597","1/14/2013",17433.16,30,0,0,"","","No","","EQT PROD CO","OGO-61555","ALLEGHENY","FORWARD",40.243461,-79.904617,"Yes","Horizontal Well","GAS","12/01/2020","12/31/2020","","","OGRE","02/12/2021","3/01/2023"
"003-22229","20FEBP","Feb 2020 (PRODUCTION: Unconventional wells)","No","No","Active","OLIVER EAST 590597","1/14/2013","","","","","","","No","","EQT PROD CO","OGO-61555","ALLEGHENY","FORWARD",40.243461,-79.904617,"Yes","Horizontal Well","GAS","2/01/2020","2/29/2020","Well Temporarily Not Producing","","OGRE","04/13/2020","3/01/2023"
"003-22229","20JANP","Jan 2020 (PRODUCTION: Unconventional wells)","No","No","Active","OLIVER EAST 590597","1/14/2013","","","","","","","No","","EQT PROD CO","OGO-61555","ALLEGHENY","FORWARD",40.243461,-79.904617,"Yes","Horizontal Well","GAS","1/01/2020","1/31/2020","Well Temporarily Not Producing","","OGRE","03/03/2020","3/01/2023"
"003-22229","20JULP","Jul 2020 (PRODUCTION: Unconventional wells)","No","No","Active","OLIVER EAST 590597","1/14/2013","","","","","","","No","","EQT PROD CO","OGO-61555","ALLEGHENY","FORWARD",40.243461,-79.904617,"Yes","Horizontal Well","GAS","7/01/2020","7/31/2020","Well Temporarily Not Producing","","OGRE","09/14/2020","3/01/2023"
"003-22229","20JUNP","Jun 2020 (PRODUCTION: Unconventional wells)","No","No","Active","OLIVER EAST 590597","1/14/2013","","","","","","","No","","EQT PROD CO","OGO-61555","ALLEGHENY","FORWARD",40.243461,-79.904617,"Yes","Horizontal Well","GAS","6/01/2020","6/30/2020","Well Temporarily Not Producing","","OGRE","08/10/2020","3/01/2023"
"003-22229","20MARP","Mar 2020 (PRODUCTION: Unconventional wells)","Yes","No","Active","OLIVER EAST 590597","1/14/2013",23331,20,"","","","","No","","EQT PROD CO","OGO-61555","ALLEGHENY","FORWARD",40.243461,-79.904617,"Yes","Horizontal Well","GAS","3/01/2020","3/31/2020","","","OGRE","05/13/2020","3/01/2023"
"003-22229","20MAYP","May 2020 (PRODUCTION: Unconventional wells)","Yes","No","Active","OLIVER EAST 590597","1/14/2013",8860,31,"","","","","No","","EQT PROD CO","OGO-61555","ALLEGHENY","FORWARD",40.243461,-79.904617,"Yes","Horizontal Well","GAS","5/01/2020","5/31/2020","","","OGRE","07/14/2020","3/01/2023"
"003-22229","20NOVP","Nov 2020 (PRODUCTION: Unconventional wells)","Yes","No","Active","OLIVER EAST 590597","1/14/2013",21437.99,30,"","","","","No","","EQT PROD CO","OGO-61555","ALLEGHENY","FORWARD",40.243461,-79.904617,"Yes","Horizontal Well","GAS","11/01/2020","11/30/2020","","","OGRE","01/13/2021","3/01/2023"
"003-22229","20OCTP","Oct 2020 (PRODUCTION: Unconventional wells)","Yes","No","Active","OLIVER EAST 590597","1/14/2013",17256,31,"","","","","No","","EQT PROD CO","OGO-61555","ALLEGHENY","FORWARD",40.243461,-79.904617,"Yes","Horizontal Well","GAS","10/01/2020","10/31/2020","","","OGRE","12/15/2020","3/01/2023"
"003-22229","20SEPP","Sep 2020 (PRODUCTION: Unconventional wells)","Yes","No","Active","OLIVER EAST 590597","1/14/2013",7589,30,"","","","","No","","EQT PROD CO","OGO-61555","ALLEGHENY","FORWARD",40.243461,-79.904617,"Yes","Horizontal Well","GAS","9/01/2020","9/30/2020","","","OGRE","11/13/2020","3/01/2023"
"003-22234","20APRP","Apr 2020 (PRODUCTION: Unconventional wells)","Yes","No","Active","OLIVER EAST 590598","1/14/2013",34353,30,"","","","","No","","EQT PROD CO","OGO-61555","ALLEGHENY","FORWARD",40.243464,-79.904564,"Yes","Horizontal Well","GAS","4/01/2020","4/30/2020","","","OGRE","06/11/2020","3/01/2023"
"003-22234","20AUGP","Aug 2020 (PRODUCTION: Unconventional wells)","Yes","No","Active","OLIVER EAST 590598","1/14/2013",23835,31,"","","","","No","","EQT PROD CO","OGO-61555","ALLEGHENY","FORWARD",40.243464,-79.904564,"Yes","Horizontal Well","GAS","8/01/2020","8/31/2020","","","OGRE","10/14/2020","3/01/2023"
"003-22234","20DECP","Dec 2020 (PRODUCTION: Unconventional wells)","Yes","No","Active","OLIVER EAST 590598","1/14/2013",27424.63,31,0,0,"","","No","","EQT PROD CO","OGO-61555","ALLEGHENY","FORWARD",40.243464,-79.904564,"Yes","Horizontal Well","GAS","12/01/2020","12/31/2020","","","OGRE","02/12/2021","3/01/2023"
"003-22234","20FEBP","Feb 2020 (PRODUCTION: Unconventional wells)","No","No","Active","OLIVER EAST 590598","1/14/2013","","","","","","","No","","EQT PROD CO","OGO-61555","ALLEGHENY","FORWARD",40.243464,-79.904564,"Yes","Horizontal Well","GAS","2/01/2020","2/29/2020","Well Temporarily Not Producing","","OGRE","04/13/2020","3/01/2023"
"003-22234","20JANP","Jan 2020 (PRODUCTION: Unconventional wells)","No","No","Active","OLIVER EAST 590598","1/14/2013","","","","","","","No","","EQT PROD CO","OGO-61555","ALLEGHENY","FORWARD",40.243464,-79.904564,"Yes","Horizontal Well","GAS","1/01/2020","1/31/2020","Well Temporarily Not Producing","","OGRE","03/03/2020","3/01/2023"
"003-22234","20JULP","Jul 2020 (PRODUCTION: Unconventional wells)","No","No","Active","OLIVER EAST 590598","1/14/2013","","","","","","","No","","EQT PROD CO","OGO-61555","ALLEGHENY","FORWARD",40.243464,-79.904564,"Yes","Horizontal Well","GAS","7/01/2020","7/31/2020","Well Temporarily Not Producing","","OGRE","09/14/2020","3/01/2023"
"003-22234","20JUNP","Jun 2020 (PRODUCTION: Unconventional wells)","No","No","Active","OLIVER EAST 590598","1/14/2013","","","","","","","No","","EQT PROD CO","OGO-61555","ALLEGHENY","FORWARD",40.243464,-79.904564,"Yes","Horizontal Well","GAS","6/01/2020","6/30/2020","Well Temporarily Not Producing","","OGRE","08/10/2020","3/01/2023"
"003-22234","20MARP","Mar 2020 (PRODUCTION: Unconventional wells)","Yes","No","Active","OLIVER EAST 590598","1/14/2013",27953,20,"","","","","No","","EQT PROD CO","OGO-61555","ALLEGHENY","FORWARD",40.243464,-79.904564,"Yes","Horizontal Well","GAS","3/01/2020","3/31/2020","","","OGRE","05/13/2020","3/01/2023"
"003-22234","20MAYP","May 2020 (PRODUCTION: Unconventional wells)","Yes","No","Active","OLIVER EAST 590598","1/14/2013",15971,31,"","","","","No","","EQT PROD CO","OGO-61555","ALLEGHENY","FORWARD",40.243464,-79.904564,"Yes","Horizontal Well","GAS","5/01/2020","5/31/2020","","","OGRE","07/14/2020","3/01/2023"
"003-22234","20NOVP","Nov 2020 (PRODUCTION: Unconventional wells)","Yes","No","Active","OLIVER EAST 590598","1/14/2013",23693.37,30,"","","","","No","","EQT PROD CO","OGO-61555","ALLEGHENY","FORWARD",40.243464,-79.904564,"Yes","Horizontal Well","GAS","11/01/2020","11/30/2020","","","OGRE","01/13/2021","3/01/2023"
"003-22234","20OCTP","Oct 2020 (PRODUCTION: Unconventional wells)","Yes","No","Active","OLIVER EAST 590598","1/14/2013",24682,31,"","","","","No","","EQT PROD CO","OGO-61555","ALLEGHENY","FORWARD",40.243464,-79.904564,"Yes","Horizontal Well","GAS","10/01/2020","10/31/2020","","","OGRE","12/15/2020","3/01/2023"
"003-22234","20SEPP","Sep 2020 (PRODUCTION: Unconventional wells)","Yes","No","Active","OLIVER EAST 590598","1/14/2013",15903,30,"","","","","No","","EQT PROD CO","OGO-61555","ALLEGHENY","FORWARD",40.243464,-79.904564,"Yes","Horizontal Well","GAS","9/01/2020","9/30/2020","","","OGRE","11/13/2020","3/01/2023"
